COUNTY,PRCTSEQ,PRECINCT,BALSEQID,JURISID,SECJURISID,CANDGROUP,OFFICENAME,ELECTDATE,ELECTTYPE,COL1HDG,RNAME1,PARTY1,PVTALLY1,COL2HDG,RNAME2,PARTY2,PVTALLY2,COL3HDG,RNAME3,PARTY3,PVTALLY3,COL4HDG,RNAME4,PARTY4,PVTALLY4,COL5HDG,RNAME5,PARTY5,PVTALLY5,COL6HDG,RNAME6,PARTY6,PVTALLY6,COL7HDG,RNAME7,PARTY7,PVTALLY7,COL8HDG,RNAME8,PARTY8,PVTALLY8,COL9HDG,RNAME9,PARTY9,PVTALLY9,COL10HDG,RNAME10,PARTY10,PVTALLY10
Anderson,0001,Andersonville,0005,0,0,1,Governor,2018-11-06,State General,1,Bill Lee,Republican,1011,2,Karl Dean,Democratic,244,3,Mark CoonRippy Brown,Independent,2,4,Sherry L. Clark,Independent,4,5,Justin Cornett,Independent,0,6,Gabriel Fancher,Independent,1,7,Sean Bruce Fleming,Independent,0,8,William Andrew Helmstetter,Independent,0,9,Cory King,Independent,1,10,Matthew Koch,Independent,1
Anderson,0001,Andersonville,0005,0,0,2,Governor,2018-11-06,State General,11,Tommy Ray McAnally,Independent,0,12,Jessie D. McDonald,Independent,0,13,Toney Randall Mitchell,Independent,0,14,Yvonne Neubert,Independent,0,15,Alfred Shawn Rapoza,Independent,0,16,Chad Riden,Independent,0,17,Robert Sawyers Sr.,Independent,0,18,Heather Scott,Independent,2,19,George Blackwell Smith IV,Independent,0,20,Jeremy Allen Stephenson,Independent,1
Anderson,0001,Andersonville,0005,0,0,3,Governor,2018-11-06,State General,21,Tracy C. Yaste Tisdale,Independent,0,22,Mike Toews,Independent,0,23,Rick Tyler,Independent,0,24,Vinnie Vineyard,Independent,0,25,Jaron D. Weidner,Independent,0,26,Patrick Whitlock,Independent,0,27,Joe B. Wilmoth,Independent,0,28,Mark Wright,Independent,0,29,Write-In - Eddie Murphy,,0,,,,
Anderson,0001,Andersonville,0007,0,0,0,United States Senate,2018-11-06,State General,1,Marsha Blackburn,Republican,954,2,Phil Bredesen,Democratic,289,3,Trudy A. Austin,Independent,5,4,John Carico,Independent,5,5,Dean Hill,Independent,2,6,Kevin Lee McCants,Independent,1,7,Breton Phillips,Independent,1,8,Kris L. Todd,Independent,3,,,,,,,,
Anderson,0001,Andersonville,0011,3,0,0,United States House of Representatives District 3,2018-11-06,State General,1,Chuck Fleischmann,Republican,1010,2,Danielle Mitchell,Democratic,215,3,Rick Tyler,Independent,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson,0001,Andersonville,0015,05,0,0,Tennessee Senate District 5,2018-11-06,State General,1,Randy McNally,Republican,1051,2,Stuart Starr,Democratic,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson,0001,Andersonville,0017,36,0,0,Tennessee House of Representatives District 36,2018-11-06,State General,1,Dennis H. Powers,Republican,996,2,Cassandra Mitchell,Democratic,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson,0002,Briceville,0005,0,0,1,Governor,2018-11-06,State General,1,Bill Lee,Republican,181,2,Karl Dean,Democratic,57,3,Mark CoonRippy Brown,Independent,0,4,Sherry L. Clark,Independent,0,5,Justin Cornett,Independent,0,6,Gabriel Fancher,Independent,0,7,Sean Bruce Fleming,Independent,0,8,William Andrew Helmstetter,Independent,0,9,Cory King,Independent,0,10,Matthew Koch,Independent,0
Anderson,0002,Briceville,0005,0,0,2,Governor,2018-11-06,State General,11,Tommy Ray McAnally,Independent,0,12,Jessie D. McDonald,Independent,0,13,Toney Randall Mitchell,Independent,0,14,Yvonne Neubert,Independent,0,15,Alfred Shawn Rapoza,Independent,0,16,Chad Riden,Independent,0,17,Robert Sawyers Sr.,Independent,0,18,Heather Scott,Independent,1,19,George Blackwell Smith IV,Independent,0,20,Jeremy Allen Stephenson,Independent,1
Anderson,0002,Briceville,0005,0,0,3,Governor,2018-11-06,State General,21,Tracy C. Yaste Tisdale,Independent,1,22,Mike Toews,Independent,0,23,Rick Tyler,Independent,0,24,Vinnie Vineyard,Independent,0,25,Jaron D. Weidner,Independent,0,26,Patrick Whitlock,Independent,0,27,Joe B. Wilmoth,Independent,0,28,Mark Wright,Independent,0,29,Write-In - Eddie Murphy,,0,,,,
Anderson,0002,Briceville,0007,0,0,0,United States Senate,2018-11-06,State General,1,Marsha Blackburn,Republican,176,2,Phil Bredesen,Democratic,68,3,Trudy A. Austin,Independent,0,4,John Carico,Independent,0,5,Dean Hill,Independent,2,6,Kevin Lee McCants,Independent,1,7,Breton Phillips,Independent,1,8,Kris L. Todd,Independent,1,,,,,,,,
Anderson,0002,Briceville,0011,3,0,0,United States House of Representatives District 3,2018-11-06,State General,1,Chuck Fleischmann,Republican,180,2,Danielle Mitchell,Democratic,49,3,Rick Tyler,Independent,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson,0002,Briceville,0015,05,0,0,Tennessee Senate District 5,2018-11-06,State General,1,Randy McNally,Republican,191,2,Stuart Starr,Democratic,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson,0002,Briceville,0017,33,0,0,Tennessee House of Representatives District 33,2018-11-06,State General,1,John D. Ragan,Republican,181,2,Richard Dawson,Democratic,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson,0003,Bull Run,0005,0,0,1,Governor,2018-11-06,State General,1,Bill Lee,Republican,1177,2,Karl Dean,Democratic,450,3,Mark CoonRippy Brown,Independent,2,4,Sherry L. Clark,Independent,7,5,Justin Cornett,Independent,1,6,Gabriel Fancher,Independent,0,7,Sean Bruce Fleming,Independent,0,8,William Andrew Helmstetter,Independent,0,9,Cory King,Independent,0,10,Matthew Koch,Independent,0
Anderson,0003,Bull Run,0005,0,0,2,Governor,2018-11-06,State General,11,Tommy Ray McAnally,Independent,1,12,Jessie D. McDonald,Independent,0,13,Toney Randall Mitchell,Independent,1,14,Yvonne Neubert,Independent,0,15,Alfred Shawn Rapoza,Independent,0,16,Chad Riden,Independent,2,17,Robert Sawyers Sr.,Independent,0,18,Heather Scott,Independent,2,19,George Blackwell Smith IV,Independent,1,20,Jeremy Allen Stephenson,Independent,0
Anderson,0003,Bull Run,0005,0,0,3,Governor,2018-11-06,State General,21,Tracy C. Yaste Tisdale,Independent,0,22,Mike Toews,Independent,0,23,Rick Tyler,Independent,0,24,Vinnie Vineyard,Independent,3,25,Jaron D. Weidner,Independent,0,26,Patrick Whitlock,Independent,0,27,Joe B. Wilmoth,Independent,0,28,Mark Wright,Independent,0,29,Write-In - Eddie Murphy,,0,,,,
Anderson,0003,Bull Run,0007,0,0,0,United States Senate,2018-11-06,State General,1,Marsha Blackburn,Republican,1074,2,Phil Bredesen,Democratic,554,3,Trudy A. Austin,Independent,11,4,John Carico,Independent,2,5,Dean Hill,Independent,4,6,Kevin Lee McCants,Independent,3,7,Breton Phillips,Independent,0,8,Kris L. Todd,Independent,3,,,,,,,,
Anderson,0003,Bull Run,0011,3,0,0,United States House of Representatives District 3,2018-11-06,State General,1,Chuck Fleischmann,Republican,1177,2,Danielle Mitchell,Democratic,403,3,Rick Tyler,Independent,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson,0003,Bull Run,0015,05,0,0,Tennessee Senate District 5,2018-11-06,State General,1,Randy McNally,Republican,1249,2,Stuart Starr,Democratic,373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson,0003,Bull Run,0017,33,0,0,Tennessee House of Representatives District 33,2018-11-06,State General,1,John D. Ragan,Republican,1166,2,Richard Dawson,Democratic,457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
